,Spouse_A_First_Name,Spouse_B_First_Name,Marriage_Year,counts
89,Aaron,Jessica,2013,4
90,Aaron,Jessica,2014,2
91,Aaron,Julie,1983,2
92,Aaron,Julie,1994,2
93,Aaron,Julie,1998,4
94,Aaron,Julie,1999,2
95,Aaron,Julie,2001,8
96,Aaron,Julie,2003,2
97,Aaron,Julie,2004,6
98,Aaron,Julie,2005,2
99,Aaron,Julie,2009,2
100,Aaron,Katherine,1975,1
101,Aaron,Katherine,1977,1
102,Aaron,Katherine,1989,3
103,Aaron,Katherine,1990,2
104,Aaron,Katherine,1992,2
105,Aaron,Katherine,1993,1
106,Aaron,Katherine,1997,2
107,Aaron,Katherine,1999,2
108,Aaron,Katherine,2000,2
109,Aaron,Katherine,2003,2
110,Aaron,Katherine,2005,2
111,Aaron,Katherine,2007,2
112,Aaron,Katherine,2008,5
113,Aaron,Katherine,2010,8
114,Aaron,Katherine,2012,2
115,Aaron,Katherine,2014,6
116,Aaron,Kimberly,1978,1
117,Aaron,Kimberly,1994,1
118,Aaron,Kimberly,1995,2
119,Aaron,Kimberly,1996,2
120,Aaron,Kimberly,2001,2
121,Aaron,Kimberly,2002,4
122,Aaron,Kimberly,2003,4
123,Aaron,Kimberly,2004,2
124,Aaron,Kimberly,2005,3
125,Aaron,Kimberly,2006,6
126,Aaron,Kimberly,2007,4
127,Aaron,Kimberly,2008,2
128,Aaron,Kimberly,2011,1
129,Aaron,Kimberly,2012,4
130,Aaron,Lisa,1983,2
131,Aaron,Lisa,1990,4
132,Aaron,Lisa,1991,2
133,Aaron,Lisa,1992,2
134,Aaron,Lisa,1997,2
135,Aaron,Lisa,2003,4
136,Aaron,Lisa,2004,2
137,Aaron,Lisa,2005,2
138,Aaron,Lisa,2006,3
139,Aaron,Lisa,2007,4
140,Aaron,Lisa,2010,2
141,Aaron,Lisa,2011,2
142,Aaron,Lisa,2012,2
143,Aaron,Lisa,2013,2
144,Aaron,Megan,2001,2
145,Aaron,Megan,2003,2
146,Aaron,Megan,2005,8
147,Aaron,Megan,2006,2
148,Aaron,Megan,2007,2
149,Aaron,Megan,2010,2
150,Aaron,Megan,2011,2
151,Aaron,Megan,2012,2
152,Aaron,Megan,2013,8
153,Aaron,Michelle,1990,1
154,Aaron,Michelle,1995,4
155,Aaron,Michelle,2000,2
156,Aaron,Michelle,2001,4
157,Aaron,Michelle,2002,2
158,Aaron,Michelle,2005,2
159,Aaron,Michelle,2006,2
160,Aaron,Michelle,2008,8
161,Aaron,Michelle,2010,4
162,Aaron,Michelle,2015,4
163,Aaron,Rachel,1987,1
164,Aaron,Rachel,1992,1
165,Aaron,Rachel,1993,1
166,Aaron,Rachel,1997,2
167,Aaron,Rachel,1998,1
168,Aaron,Rachel,1999,1
169,Aaron,Rachel,2001,2
170,Aaron,Rachel,2002,2
171,Aaron,Rachel,2005,4
172,Aaron,Rachel,2006,2
173,Aaron,Rachel,2007,1
174,Aaron,Rachel,2008,2
175,Aaron,Rachel,2009,2
176,Aaron,Rachel,2010,4
177,Aaron,Rachel,2011,4
178,Aaron,Rachel,2013,2
179,Aaron,Rachel,2014,4
180,Aaron,Rebecca,1995,2
181,Aaron,Rebecca,1998,2
182,Aaron,Rebecca,2000,2
183,Aaron,Rebecca,2002,2
184,Aaron,Rebecca,2003,2
185,Aaron,Rebecca,2004,2
186,Aaron,Rebecca,2005,5
187,Aaron,Rebecca,2006,3
188,Aaron,Rebecca,2007,2
189,Aaron,Rebecca,2011,4
190,Aaron,Rebecca,2012,4
191,Aaron,Rebecca,2013,1
192,Aaron,Rebecca,2014,3
193,Aaron,Sarah,1986,1
194,Aaron,Sarah,1996,4
195,Aaron,Sarah,1997,2
196,Aaron,Sarah,1999,2
197,Aaron,Sarah,2002,6
198,Aaron,Sarah,2003,2
199,Aaron,Sarah,2005,2
200,Aaron,Sarah,2006,4
201,Aaron,Sarah,2008,4
202,Aaron,Sarah,2009,1
203,Aaron,Sarah,2010,9
204,Aaron,Sarah,2011,4
205,Aaron,Sarah,2012,2
206,Aaron,Sarah,2013,10
207,Aaron,Sarah,2014,8
208,Abbie,Jason,2007,2
209,Abbie,Jason,2008,2
210,Abbie,Jason,2010,2
211,Abby,Michael,1997,2
212,Abby,Michael,2007,1
213,Abby,Michael,2008,1
214,Abby,Michael,2011,2
215,Abby,Michael,2012,2
216,Abeba,Daniel,1999,2
217,Abeba,Daniel,2001,2
218,Abeba,Daniel,2005,1
219,Abeba,Daniel,2006,1
220,Abebe,Mulu,1997,1
221,Abebe,Mulu,2000,3
222,Abebe,Mulu,2001,2
223,Abel,Maria,1993,2
224,Abel,Maria,2009,4
225,Abel,Martha,2001,2
226,Abel,Martha,2002,2
227,Abel,Martha,2004,2
228,Abigail,Andrew,2009,2
229,Abigail,Andrew,2012,2
230,Abigail,Andrew,2013,4
231,Abigail,Andrew,2015,1
232,Abigail,Charles,1994,2
233,Abigail,Charles,2009,2
234,Abigail,Charles,2010,2
235,Abigail,Charles,2015,1
236,Abigail,Christopher,1995,1
237,Abigail,Christopher,1998,2
238,Abigail,Christopher,1999,2
239,Abigail,Christopher,2008,2
240,Abigail,Christopher,2010,3
241,Abigail,Christopher,2011,3
242,Abigail,Christopher,2012,1
243,Abigail,Christopher,2013,3
244,Abigail,Daniel,2001,2
245,Abigail,Daniel,2008,2
246,Abigail,Daniel,2013,2
247,Abigail,Daniel,2015,2
248,Abigail,David,1986,2
249,Abigail,David,2006,2
250,Abigail,David,2008,2
251,Abigail,David,2010,2
252,Abigail,David,2012,4
253,Abigail,James,1987,1
254,Abigail,James,2002,2
255,Abigail,James,2006,1
256,Abigail,James,2007,1
257,Abigail,James,2013,2
258,Abigail,James,2014,2
259,Abigail,John,1994,2
260,Abigail,John,1998,2
261,Abigail,John,2002,1
262,Abigail,John,2003,1
263,Abigail,John,2007,2
264,Abigail,Joshua,1997,2
265,Abigail,Joshua,2006,2
266,Abigail,Joshua,2009,2
267,Abigail,Joshua,2013,3
268,Abigail,Joshua,2014,1
269,Abigail,Kevin,2000,2
270,Abigail,Kevin,2003,2
271,Abigail,Kevin,2005,2
272,Abigail,Kevin,2007,2
273,Abigail,Matthew,1986,1
274,Abigail,Matthew,1989,3
275,Abigail,Matthew,2008,2
276,Abigail,Matthew,2009,1
277,Abigail,Matthew,2010,1
278,Abigail,Matthew,2011,2
279,Abigail,Michael,1980,2
280,Abigail,Michael,1995,2
281,Abigail,Michael,2001,2
282,Abigail,Michael,2009,2
283,Abigail,Michael,2011,2
284,Abigail,Michael,2013,2
285,Abigail,Robert,1984,1
286,Abigail,Robert,1997,2
287,Abigail,Robert,2003,2
288,Abigail,Robert,2008,2
289,Abigail,Robert,2013,2
290,Abigail,Robert,2014,4
291,Abigail,Ryan,1998,2
292,Abigail,Ryan,1999,1
293,Abigail,Ryan,2006,4
294,Abigail,Ryan,2010,2
295,Abigail,Steven,1978,1
296,Abigail,Steven,2007,1
297,Abigail,Steven,2008,1
298,Abigail,Steven,2009,4
299,Abigail,Steven,2010,2
300,Abigail,Steven,2013,2
301,Abigail,William,1973,1
302,Abigail,William,1987,1
303,Abigail,William,1991,1
304,Abigail,William,1992,1
305,Abigail,William,2004,2
306,Abigail,William,2012,2
307,Abigail,William,2014,2
308,Abraham,Deborah,1973,1
309,Abraham,Deborah,1974,1
310,Abraham,Deborah,1994,1
311,Abraham,Deborah,1995,1
312,Abraham,Deborah,1997,1
313,Abraham,Deborah,1998,1
314,Abraham,Deborah,1999,1
315,Abraham,Maria,1996,2
316,Abraham,Maria,2004,2
317,Abraham,Maria,2008,2
318,Abraham,Mary,1973,1
319,Abraham,Mary,1985,1
320,Abraham,Mary,1993,1
321,Abraham,Mary,1996,1
322,Abraham,Mary,1997,1
323,Abraham,Mary,2012,2
324,Acp,Acp,1998,6
325,Acp,Acp,2007,10
326,Acp,Acp,2008,2
327,Acp,Acp,2009,10
328,Acp,Acp,2013,6
329,Acp,Acp,2014,10
330,Acp,Acp,2015,4
331,Ada,Daniel,1997,2
332,Ada,Daniel,2006,2
333,Ada,Daniel,2010,2
334,Ada,Robert,1971,1
335,Ada,Robert,1974,1
336,Ada,Robert,1981,2
337,Ada,Robert,2003,2
338,Ada,Robert,2012,2
339,Adam,Amy,1990,2
340,Adam,Amy,1994,2
341,Adam,Amy,1998,2
342,Adam,Amy,1999,4
343,Adam,Amy,2001,4
344,Adam,Amy,2004,1
345,Adam,Amy,2005,1
346,Adam,Amy,2006,2
347,Adam,Amy,2007,2
348,Adam,Amy,2008,4
349,Adam,Amy,2011,2
350,Adam,Amy,2012,2
351,Adam,Amy,2015,2
352,Adam,Angela,1995,2
353,Adam,Angela,1997,2
354,Adam,Angela,1998,1
355,Adam,Angela,2000,2
356,Adam,Angela,2002,2
357,Adam,Angela,2003,2
358,Adam,Angela,2005,2
359,Adam,Angela,2007,2
360,Adam,Angela,2008,3
361,Adam,Angela,2009,5
362,Adam,Angela,2013,2
363,Adam,Angela,2014,4
364,Adam,Ashley,1998,2
365,Adam,Ashley,1999,2
366,Adam,Ashley,2005,2
367,Adam,Ashley,2006,2
368,Adam,Ashley,2007,4
369,Adam,Ashley,2008,4
370,Adam,Ashley,2010,4
371,Adam,Ashley,2011,2
372,Adam,Ashley,2013,3
373,Adam,Ashley,2014,4
374,Adam,Elizabeth,1995,2
375,Adam,Elizabeth,1997,2
376,Adam,Elizabeth,1999,2
377,Adam,Elizabeth,2000,2
378,Adam,Elizabeth,2004,3
379,Adam,Elizabeth,2005,2
380,Adam,Elizabeth,2006,4
381,Adam,Elizabeth,2007,2
382,Adam,Elizabeth,2010,6
383,Adam,Elizabeth,2011,2
384,Adam,Elizabeth,2012,2
385,Adam,Elizabeth,2014,2
386,Adam,Elizabeth,2015,2
387,Adam,Erin,1990,2
388,Adam,Erin,1991,2
389,Adam,Erin,2002,2
390,Adam,Erin,2005,4
391,Adam,Erin,2006,2
392,Adam,Erin,2007,2
393,Adam,Erin,2008,6
394,Adam,Erin,2010,4
395,Adam,Erin,2011,2
396,Adam,Erin,2012,2
397,Adam,Erin,2013,2
398,Adam,Erin,2014,4
399,Adam,Heather,1998,4
400,Adam,Heather,2000,2
401,Adam,Heather,2001,3
402,Adam,Heather,2004,4
403,Adam,Heather,2005,2
404,Adam,Heather,2006,2
405,Adam,Heather,2007,2
406,Adam,Heather,2009,2
407,Adam,Heather,2011,6
408,Adam,Heather,2013,6
409,Adam,Heather,2014,2
410,Adam,Jennifer,1985,1
411,Adam,Jennifer,1993,2
412,Adam,Jennifer,1995,9
413,Adam,Jennifer,1996,2
414,Adam,Jennifer,1997,4
415,Adam,Jennifer,1998,2
416,Adam,Jennifer,1999,10
417,Adam,Jennifer,2000,10
418,Adam,Jennifer,2001,1
419,Adam,Jennifer,2002,9
420,Adam,Jennifer,2003,2
421,Adam,Jennifer,2004,4
422,Adam,Jennifer,2005,4
423,Adam,Jennifer,2006,2
424,Adam,Jennifer,2007,2
425,Adam,Jennifer,2008,3
426,Adam,Jennifer,2009,13
427,Adam,Jennifer,2010,5
428,Adam,Jennifer,2011,5
429,Adam,Jennifer,2012,4
430,Adam,Jennifer,2014,4
431,Adam,Jennifer,2015,1
432,Adam,Jessica,1997,6
433,Adam,Jessica,2000,2
434,Adam,Jessica,2003,2
435,Adam,Jessica,2007,7
436,Adam,Jessica,2009,8
437,Adam,Jessica,2011,2
438,Adam,Jessica,2012,2
439,Adam,Jessica,2013,6
440,Adam,Jessica,2014,2
441,Adam,Jessica,2015,2
442,Adam,Kimberly,1996,2
443,Adam,Kimberly,2001,2
444,Adam,Kimberly,2003,6
445,Adam,Kimberly,2005,4
446,Adam,Kimberly,2006,4
447,Adam,Kimberly,2007,2
448,Adam,Kimberly,2009,2
449,Adam,Kimberly,2010,2
450,Adam,Kimberly,2011,2
451,Adam,Kimberly,2013,4
452,Adam,Kimberly,2014,2
453,Adam,Lisa,1994,4
454,Adam,Lisa,1996,2
455,Adam,Lisa,1999,1
456,Adam,Lisa,2000,3
457,Adam,Lisa,2001,4
458,Adam,Lisa,2002,2
459,Adam,Lisa,2003,2
460,Adam,Lisa,2004,2
461,Adam,Lisa,2005,4
462,Adam,Lisa,2006,2
463,Adam,Lisa,2007,2
464,Adam,Lisa,2008,4
465,Adam,Lisa,2012,2
466,Adam,Lisa,2014,2
467,Adam,Megan,1990,2
468,Adam,Megan,1997,2
469,Adam,Megan,1999,2
470,Adam,Megan,2004,4
471,Adam,Megan,2006,6
472,Adam,Megan,2008,2
473,Adam,Megan,2010,6
474,Adam,Megan,2012,2
475,Adam,Megan,2014,2
476,Adam,Megan,2015,2
477,Adam,Melissa,1999,3
478,Adam,Melissa,2000,3
479,Adam,Melissa,2001,2
480,Adam,Melissa,2003,4
481,Adam,Melissa,2006,4
482,Adam,Melissa,2007,2
483,Adam,Melissa,2008,2
484,Adam,Melissa,2009,4
485,Adam,Melissa,2010,4
486,Adam,Melissa,2013,4
487,Adam,Michelle,1994,2
488,Adam,Michelle,1995,2
489,Adam,Michelle,1996,1
490,Adam,Michelle,1997,3
491,Adam,Michelle,1999,2
492,Adam,Michelle,2000,2
493,Adam,Michelle,2001,4
494,Adam,Michelle,2005,2
495,Adam,Michelle,2006,4
496,Adam,Michelle,2007,2
497,Adam,Michelle,2009,2
498,Adam,Michelle,2011,4
499,Adam,Michelle,2012,2
500,Adam,Michelle,2013,2
501,Adam,Michelle,2014,4
502,Adam,Sarah,1996,2
503,Adam,Sarah,2001,2
504,Adam,Sarah,2003,3
505,Adam,Sarah,2004,1
506,Adam,Sarah,2005,6
507,Adam,Sarah,2008,4
508,Adam,Sarah,2009,4
509,Adam,Sarah,2010,4
510,Adam,Sarah,2011,3
511,Adam,Sarah,2012,3
512,Adam,Sarah,2013,2
513,Adam,Sarah,2014,2
514,Adam,Sarah,2015,2
515,Adam,Stephanie,1987,1
516,Adam,Stephanie,1992,1
517,Adam,Stephanie,1993,1
518,Adam,Stephanie,1994,4
519,Adam,Stephanie,1998,2
520,Adam,Stephanie,1999,2
521,Adam,Stephanie,2001,2
522,Adam,Stephanie,2002,2
523,Adam,Stephanie,2005,4
524,Adam,Stephanie,2009,2
525,Adam,Stephanie,2011,4
526,Adam,Stephanie,2012,4
527,Adam,Stephanie,2015,2
528,Adele,David,1968,1
529,Adele,David,1978,1
530,Adele,David,1987,1
531,Adele,David,1988,2
532,Adele,David,2013,1
533,Adele,David,2014,3
534,Adele,Robert,1971,1
535,Adele,Robert,1974,1
536,Adele,Robert,1979,2
537,Adele,Robert,1986,1
538,Adele,Robert,1991,2
539,Adria,Michael,1997,2
540,Adria,Michael,2003,2
541,Adria,Michael,2011,2
542,Adrian,Amanda,1998,2
543,Adrian,Amanda,2002,1
544,Adrian,Amanda,2003,1
545,Adrian,Amanda,2004,2
546,Adrian,Amanda,2011,2
547,Adrian,Amanda,2015,2
548,Adrian,Carol,1988,1
549,Adrian,Carol,1989,3
550,Adrian,Carol,1994,2
551,Adrian,Carol,1997,2
552,Adrian,Jennifer,1975,1
553,Adrian,Jennifer,1997,2
554,Adrian,Jennifer,1998,2
555,Adrian,Jennifer,2008,1
556,Adrian,Jennifer,2009,1
557,Adrian,Jessica,2003,2
558,Adrian,Jessica,2007,4
559,Adrian,Jessica,2010,2
560,Adrian,Jessica,2013,2
561,Adrian,Jessica,2014,2
562,Adrian,Karen,2001,2
563,Adrian,Karen,2012,2
564,Adrian,Karen,2013,2
565,Adrian,Laura,2004,2
566,Adrian,Laura,2008,1
567,Adrian,Laura,2010,2
568,Adrian,Laura,2013,2
569,Adrian,Linda,1968,1
570,Adrian,Linda,1988,1
571,Adrian,Linda,1992,2
572,Adrian,Linda,2004,2
573,Adrian,Linda,2009,2
574,Adrian,Lisa,1995,2
575,Adrian,Lisa,2003,2
576,Adrian,Lisa,2012,1
577,Adrian,Lisa,2013,3
578,Adrian,Maria,1992,1
579,Adrian,Maria,1997,2
580,Adrian,Maria,2006,2
581,Adrian,Maria,2009,4
582,Adrian,Maria,2010,2
583,Adrian,Maria,2011,2
584,Adrian,Mary,1969,1
585,Adrian,Mary,1974,1
586,Adrian,Mary,1989,2
587,Adrian,Mary,2005,2
588,Adrian,Mary,2008,2
589,Adrian,Mary,2010,1
590,Adrian,Melissa,2007,2
591,Adrian,Melissa,2008,3
592,Adrian,Melissa,2009,2
593,Adrian,Michael,1980,2
594,Adrian,Michael,1997,2
595,Adrian,Michael,2005,2
596,Adrian,Michael,2009,2
597,Adrian,Michael,2010,2
598,Adrian,Michelle,1994,2
599,Adrian,Michelle,1995,2
600,Adrian,Michelle,1999,2
601,Adrian,Rebecca,1997,2
602,Adrian,Rebecca,2001,2
603,Adrian,Rebecca,2008,2
604,Adrian,Rebecca,2012,2
605,Adrian,Stephanie,1987,1
606,Adrian,Stephanie,1991,2
607,Adrian,Stephanie,1994,2
608,Adrian,Stephanie,2012,2
609,Adriana,Christopher,2002,2
610,Adriana,Christopher,2007,2
611,Adriana,Christopher,2011,2
612,Adriana,Daniel,2002,1
613,Adriana,Daniel,2003,2
614,Adriana,Daniel,2008,2
615,Adriana,Daniel,2013,3
616,Adriana,David,2001,2
617,Adriana,David,2010,3
618,Adriana,David,2011,1
619,Adriana,David,2013,1
620,Adriana,David,2014,3
621,Adriana,John,1970,1
622,Adriana,John,1978,1
623,Adriana,John,2003,2
624,Adriana,John,2010,2
625,Adriana,John,2011,2
626,Adriana,Jose,1997,2
627,Adriana,Jose,1999,1
628,Adriana,Jose,2000,2
629,Adriana,Jose,2005,1
630,Adriana,Jose,2007,4
631,Adriana,Jose,2008,2
632,Adriana,Jose,2011,2
633,Adriana,Juan,1993,2
634,Adriana,Juan,1998,3
635,Adriana,Juan,1999,1
636,Adriana,Juan,2000,1
637,Adriana,Juan,2004,1
638,Adriana,Juan,2005,2
639,Adriana,Juan,2006,2
640,Adriana,Juan,2007,1
641,Adriana,Juan,2012,4
642,Adriana,Juan,2013,2
643,Adriana,Matthew,1994,1
644,Adriana,Matthew,2001,2
645,Adriana,Matthew,2008,1
646,Adriana,Matthew,2009,1
647,Adriana,Matthew,2012,2
648,Adriana,Matthew,2013,2
649,Adriana,Miguel,2010,2
650,Adriana,Miguel,2011,2
651,Adriana,Miguel,2012,2
652,Adriana,Nicholas,2008,2
653,Adriana,Nicholas,2012,2
654,Adriana,Nicholas,2013,2
655,Adrianne,Brian,1991,2
656,Adrianne,Brian,2007,2
657,Adrianne,Brian,2008,4
658,Adrianne,Michael,1989,3
659,Adrianne,Michael,2003,1
660,Adrianne,Michael,2004,2
661,Adrienne,Andrew,1989,6
662,Adrienne,Andrew,1998,2
663,Adrienne,Andrew,2002,2
664,Adrienne,Andrew,2004,2
665,Adrienne,Christopher,1969,1
666,Adrienne,Christopher,1990,1
667,Adrienne,Christopher,1994,1
668,Adrienne,Christopher,2002,2
669,Adrienne,Christopher,2013,4
670,Adrienne,Daniel,1972,1
671,Adrienne,Daniel,1999,2
672,Adrienne,Daniel,2005,2
673,Adrienne,Daniel,2012,1
674,Adrienne,Daniel,2013,3
675,Adrienne,David,1969,1
676,Adrienne,David,1983,2
677,Adrienne,David,1989,1
678,Adrienne,David,1990,1
679,Adrienne,David,1996,1
680,Adrienne,David,2006,2
681,Adrienne,James,1972,1
682,Adrienne,James,1990,2
683,Adrienne,James,1991,2
684,Adrienne,James,1992,2
685,Adrienne,James,1997,2
686,Adrienne,James,2005,2
687,Adrienne,James,2007,2
688,Adrienne,James,2008,2
689,Adrienne,Jeffrey,1974,1
690,Adrienne,Jeffrey,2002,2
691,Adrienne,Jeffrey,2007,2
692,Adrienne,Jeffrey,2008,2
693,Adrienne,Jeffrey,2011,4
694,Adrienne,John,1971,1
695,Adrienne,John,1978,1
696,Adrienne,John,1993,2
697,Adrienne,John,2006,3
698,Adrienne,John,2007,1
699,Adrienne,John,2010,2
700,Adrienne,Matthew,2007,2
701,Adrienne,Matthew,2009,2
702,Adrienne,Matthew,2011,2
703,Adrienne,Matthew,2012,2
704,Adrienne,Michael,1981,2
705,Adrienne,Michael,1983,2
706,Adrienne,Michael,1985,1
707,Adrienne,Michael,1992,2
708,Adrienne,Michael,1993,2
709,Adrienne,Michael,1995,1
710,Adrienne,Michael,1998,1
711,Adrienne,Michael,1999,2
712,Adrienne,Michael,2003,1
713,Adrienne,Michael,2004,2
714,Adrienne,Michael,2005,2
715,Adrienne,Michael,2009,2
716,Adrienne,Michael,2013,2
717,Adrienne,Michael,2014,2
718,Adrienne,Michael,2015,1
719,Adrienne,Robert,1971,1
720,Adrienne,Robert,1978,1
721,Adrienne,Robert,1980,2
722,Adrienne,Robert,2000,2
723,Adrienne,Robert,2008,2
724,Adrienne,Robert,2010,2
725,Adrienne,Scott,1992,1
726,Adrienne,Scott,1993,1
727,Adrienne,Scott,2000,4
728,Adrienne,Scott,2005,2
729,Adrienne,Stephen,1975,1
730,Adrienne,Stephen,1980,2
731,Adrienne,Stephen,2010,2
732,Adrienne,Stephen,2012,2
733,Adrienne,Stephen,2014,2
734,Adrienne,Steven,1984,1
735,Adrienne,Steven,1985,1
736,Adrienne,Steven,1999,2
737,Adrienne,Steven,2000,4
738,Adrienne,Steven,2009,2
739,Adrienne,Thomas,1991,1
740,Adrienne,Thomas,2000,1
741,Adrienne,Thomas,2001,2
742,Adrienne,Thomas,2006,2
743,Adrienne,Thomas,2007,2
744,Adrienne,Thomas,2008,1
745,Adrienne,William,1970,1
746,Adrienne,William,1971,1
747,Adrienne,William,1972,1
748,Adrienne,William,1983,2
749,Adrienne,William,2003,2
750,Adrienne,William,2011,2
751,Agnes,Christopher,1989,3
752,Agnes,Christopher,2000,2
753,Agnes,Christopher,2011,2
754,Agnes,David,1968,1
755,Agnes,David,1982,2
756,Agnes,David,2001,2
757,Agnes,David,2002,2
758,Agnes,David,2013,1
759,Agnes,David,2014,1
760,Agnes,George,1971,1
761,Agnes,George,1980,2
762,Agnes,George,1986,1
763,Agnes,George,1997,2
764,Agnes,George,2001,2
765,Agnes,John,1970,1
766,Agnes,John,1971,2
767,Agnes,John,1972,2
768,Agnes,John,1974,2
769,Agnes,John,1975,1
770,Agnes,John,1989,3
771,Agnes,John,1991,1
772,Agnes,Richard,1969,1
773,Agnes,Richard,1970,1
774,Agnes,Richard,1981,2
775,Agnes,Richard,1990,2
776,Agnes,Robert,1969,2
777,Agnes,Robert,1974,1
778,Agnes,Robert,1984,1
779,Agnes,Robert,1995,2
780,Agnes,Steven,2003,2
781,Agnes,Steven,2007,2
782,Agnes,Steven,2009,2
783,Agnes,Steven,2011,2
784,Agustin,Maria,2002,2
785,Agustin,Maria,2011,2
786,Agustin,Maria,2013,2
787,Ahmad,Linda,1968,1
788,Ahmad,Linda,1975,1
789,Ahmad,Linda,1979,2
790,Ahmad,Linda,1981,2
791,Ahmad,Linda,1996,2
792,Ahmed,Fartun,2003,2
793,Ahmed,Fartun,2011,2
794,Ahmed,Fartun,2013,2
795,Ai,Kenny,2003,2
796,Ai,Kenny,2006,2
797,Ai,Kenny,2012,2
798,Aida,David,1979,2
799,Aida,David,1995,1
800,Aida,David,1996,1
801,Aida,David,1997,2
802,Aida,David,2005,2
803,Aileen,Brian,1980,2
804,Aileen,Brian,1989,3
805,Aileen,Brian,1994,2
806,Aileen,Brian,2005,2
807,Aileen,Daniel,1979,2
808,Aileen,Daniel,1991,1
809,Aileen,Daniel,2007,2
810,Aileen,Daniel,2008,2
811,Aileen,Daniel,2011,2
812,Aileen,Larry,1968,1
813,Aileen,Larry,1978,1
814,Aileen,Larry,2000,2
815,Aileen,Larry,2004,2
816,Aileen,Michael,1991,2
817,Aileen,Michael,2000,2
818,Aileen,Michael,2001,2
819,Aileen,Michael,2004,2
820,Aileen,Michael,2012,2
821,Aileen,Patrick,1980,2
822,Aileen,Patrick,2013,2
823,Aileen,Patrick,2014,2
824,Aimee,Bruce,1993,2
825,Aimee,Bruce,1996,2
826,Aimee,Bruce,2012,2
827,Aimee,Bryan,1993,2
828,Aimee,Bryan,1996,2
829,Aimee,Bryan,2001,1
830,Aimee,Bryan,2002,1
831,Aimee,Christopher,1987,1
832,Aimee,Christopher,1994,2
833,Aimee,Christopher,1997,2
834,Aimee,Christopher,1999,2
835,Aimee,Christopher,2000,2
836,Aimee,Christopher,2006,2
837,Aimee,Christopher,2013,2
838,Aimee,David,1990,2
839,Aimee,David,1992,1
840,Aimee,David,1997,2
841,Aimee,David,2001,2
842,Aimee,David,2003,2
843,Aimee,David,2004,2
844,Aimee,David,2006,2
845,Aimee,David,2009,2
846,Aimee,David,2010,2
847,Aimee,David,2013,2
848,Aimee,Edward,1989,3
849,Aimee,Edward,1998,2
850,Aimee,Edward,2003,2
