Spouse_A_First_Name,Spouse_B_First_Name,counts
Albert,Judy,14
Albert,Sharon,12
Albert,Michelle,12
Albert,Jean,12
Albert,Diane,11
Albert,Debra,10
Albert,Donna,10
Alberta,James,7
Alberta,Reginald,6
Alberto,Maria,17
Alberto,Claudia,6
Alecia,Jason,8
Alejandra,Jose,18
Alejandra,Saul,6
Alejandra,Juan,6
Alejandra,Mario,6
Alejandro,Maria,35
Alejandro,Laura,11
Alejandro,Ana,8
Alejandro,Rosa,8
Alejandro,Veronica,8
Alejandro,Christina,6
Alejandro,Gloria,6
Alejandro,Brenda,6
Alejandro,Susana,6
Aleksandr,Olga,14
Aleksandr,Irina,13
Aleksandr,Lyudmila,12
Aleksandr,Anna,10
Aleksandr,Tatyana,8
Aleksandr,Inna,8
Aleksandr,Liliya,8
Aleksandr,Yuliya,8
Aleksandr,Natalya,7
Aleksandr,Nataliya,7
Aleksandr,Viktoriya,6
Aleksandr,Vera,6
Aleksandr,Oksana,6
Aleksandr,Zhanna,6
Aleksandr,Yelena,6
Aleksey,Larisa,6
Aleksey,Liliya,6
Aleksey,Tatyana,6
Alena,Michael,8
Alena,Ivan,6
Alex,Jessica,13
Alex,Maria,12
Alex,Jennifer,10
Alex,Susan,10
Alex,Stephanie,10
Alex,Mary,9
Alex,Diana,8
Alex,Amy,8
Alex,Lisa,8
Alex,Laura,8
Alex,Valerie,7
Alex,Kathryn,7
Alex,Angela,7
Alex,Lyudmila,6
Alex,Nancy,6
Alexa,David,10
Alexa,Michael,7
Alexa,John,6
Alexa,Matthew,6
Alexa,Robert,6
Alexander,Jennifer,47
Alexander,Sarah,31
Alexander,Mary,25
Alexander,Nicole,23
Alexander,Melissa,23
Alexander,Elizabeth,21
Alexander,Anna,21
Alexander,Maria,19
Alexander,Heather,19
Alexander,Jessica,19
Alexander,Kelly,18
Alexander,Rebecca,18
Alexander,Lisa,17
Alexander,Kimberly,17
Alexander,Julie,15
Alexandra,Michael,32
Alexandra,Daniel,24
Alexandra,David,22
Alexandra,Ryan,18
Alexandra,Robert,18
Alexandra,William,16
Alexandra,Joshua,14
Alexandra,John,14
Alexandra,Richard,14
Alexandra,Matthew,14
Alexandra,Christopher,13
Alexandra,Patrick,11
Alexandra,Eric,10
Alexandra,Brian,10
Alexandra,Jason,10
Alexandria,John,8
Alexandria,Jeffrey,6
Alexis,James,13
Alexis,Christopher,12
Alexis,Michael,12
Alexis,David,10
Alexis,Peter,8
Alexis,Ryan,8
Alexis,Jason,8
Alexis,Mark,7
Alexis,Kevin,7
Alexis,Zachary,6
Alexis,Samuel,6
Alexis,Joshua,6
Alexis,Nathan,6
Alexis,Douglas,6
Alexis,Eric,6
Alfonso,Maria,14
Alfred,Linda,20
Alfred,Mary,12
Alfred,Carol,11
Alfred,Barbara,11
Alfred,Jennifer,11
Alfred,Sandra,11
Alfred,Deborah,10
Alfred,Nancy,10
Alfred,Shirley,10
Alfred,Jacqueline,9
Alfred,Janice,8
Alfred,Elizabeth,8
Alfred,Julie,8
Alfred,Sharon,8
Alfred,Janet,7
Alfredo,Maria,18
Alfredo,Susan,8
Alfredo,Sandra,6
Ali,Mary,7
Ali,Donna,6
Ali,Zahra,6
Ali,Sarah,6
Ali,Michelle,6
Alice,Robert,75
Alice,James,61
Alice,Michael,58
Alice,John,56
Alice,William,48
Alice,Richard,47
Alice,David,46
Alice,Thomas,37
Alice,Paul,35
Alice,Donald,27
Alice,Mark,27
Alice,Charles,26
Alice,Kenneth,24
Alice,Douglas,24
Alice,George,21
Alicia,Michael,40
Alicia,Daniel,34
Alicia,John,33
Alicia,James,32
Alicia,David,32
Alicia,Christopher,28
Alicia,Robert,26
Alicia,Eric,25
Alicia,Kevin,23
Alicia,Matthew,22
Alicia,Joseph,21
Alicia,William,20
Alicia,Richard,19
Alicia,Mark,19
Alicia,Scott,18
Alina,David,10
Alina,Artem,6
Alina,Michael,6
Alisa,Michael,17
Alisa,David,17
Alisa,Kevin,13
Alisa,Peter,12
Alisa,Daniel,12
Alisa,William,11
Alisa,Eric,11
Alisa,Thomas,10
Alisa,Matthew,9
Alisa,Jeffrey,8
Alisa,Joseph,8
Alisa,Robert,7
Alisa,Randy,6
Alisa,Paul,6
Alisa,Brian,6
Alisha,Christopher,8
Alisha,Eric,6
Alisha,Daniel,6
Alisha,Todd,6
Alisha,Joshua,6
Alisha,Michael,6
Alison,John,44
Alison,David,41
Alison,Michael,38
Alison,James,38
Alison,Robert,35
Alison,Matthew,35
Alison,Jeffrey,25
Alison,Christopher,24
Alison,Scott,24
Alison,Mark,24
Alison,Daniel,22
Alison,Ryan,20
Alison,Brian,19
Alison,Thomas,18
Alison,Kevin,16
Alissa,Andrew,12
Alissa,Christopher,12
Alissa,Michael,8
Alissa,Jason,8
Alissa,Todd,7
Alissa,John,7
Alissa,Matthew,7
Alissa,Benjamin,6
Alissa,Mark,6
Alla,Andrey,9
Alla,Roman,8
Alla,Igor,8
Alla,Sergey,8
Alla,Vladimir,8
Alla,Dmitriy,7
Alla,Peter,6
Alla,Vitaliy,6
Alla,Aleksandr,6
Allan,Barbara,23
Allan,Mary,21
Allan,Susan,20
Allan,Nancy,17
Allan,Patricia,17
Allan,Linda,16
Allan,Judith,15
Allan,Sharon,15
Allan,Jennifer,13
Allan,Karen,12
Allan,Debra,12
Allan,Kathy,10
Allan,Carol,10
Allan,Sandra,10
Allan,Sarah,9
Allen,Mary,28
Allen,Sandra,21
Allen,Linda,20
Allen,Patricia,20
Allen,Kathleen,19
Allen,Sharon,19
Allen,Karen,17
Allen,Margaret,16
Allen,Lisa,15
Allen,Carol,15
Allen,Deborah,15
Allen,Jennifer,14
Allen,Susan,14
Allen,Laura,14
Allen,Barbara,12
Allison,David,50
Allison,Michael,45
Allison,Robert,34
Allison,John,33
Allison,Christopher,33
Allison,Jeffrey,31
Allison,Joseph,29
Allison,William,27
Allison,Mark,25
Allison,Ryan,24
Allison,James,23
Allison,Thomas,22
Allison,Scott,22
Allison,Joshua,22
Allison,Richard,20
Allyson,John,10
Allyson,David,7
Allyson,Christopher,7
Alma,Jose,12
Alma,Juan,12
Alma,Robert,12
Alma,John,8
Alma,Michael,8
Alma,William,7
Alma,Luis,7
Alma,David,7
Alma,Ricardo,6
Alma,Steven,6
Alma,Miguel,6
Alma,Marcos,6
Alton,Susan,6
Alvaro,Maria,12
Alvin,Mary,12
Alvin,Patricia,11
Alvin,Elizabeth,9
Alvin,Sandra,8
Alvin,Maria,8
Alvin,Susan,8
Alvin,Karen,8
Alvin,Judith,8
Alvin,Barbara,8
Alvin,Janice,7
Alvin,Christine,7
Alvin,Diane,7
Alvin,Dorothy,7
Alvin,Kelly,6
Alvin,Kathryn,6
Alyce,Richard,7
Alycia,Jeffrey,6
Alycia,David,6
Alyson,John,8
Alyson,Michael,7
Alyson,Eric,6
Alyson,David,6
Alyson,Thomas,6
Alyson,Steven,6
Alyssa,John,16
Alyssa,Michael,13
Alyssa,Kevin,12
Alyssa,David,10
Alyssa,Anthony,10
Alyssa,Andrew,10
Alyssa,Joseph,10
Alyssa,Jared,8
Alyssa,Jacob,8
Alyssa,Brian,8
Alyssa,Matthew,8
Alyssa,Jason,8
Alyssa,Shawn,8
Alyssa,Nicholas,7
Alyssa,Eric,7
Amanda,Michael,112
Amanda,Robert,84
Amanda,Matthew,83
Amanda,Christopher,81
Amanda,David,75
Amanda,Joshua,66
Amanda,Ryan,66
Amanda,John,61
Amanda,James,58
Amanda,Daniel,57
Amanda,Brian,55
Amanda,Andrew,53
Amanda,Jeffrey,51
Amanda,William,49
Amanda,Jason,40
Amber,Michael,67
Amber,David,48
Amber,James,43
Amber,John,38
Amber,Christopher,38
Amber,Robert,36
Amber,Brian,34
Amber,Ryan,29
Amber,Jason,28
Amber,Daniel,27
Amber,William,25
Amber,Andrew,24
Amber,Joseph,24
Amber,Aaron,22
Amber,Jeffrey,22
Amelia,Brian,11
Amelia,James,9
Amelia,David,9
Amelia,Michael,8
Amelia,Richard,8
Amelia,Manuel,7
Amelia,John,7
Amelia,Adam,6
Amelia,Christopher,6
Amelia,Kyle,6
Amie,David,12
Amie,Michael,11
Amie,James,9
Amie,Christopher,8
Amie,Anthony,6
Amie,Mark,6
Amy,Michael,270
Amy,David,188
Amy,John,168
Amy,James,160
Amy,Robert,150
Amy,Christopher,149
Amy,Brian,126
Amy,Jeffrey,124
Amy,Matthew,118
Amy,William,106
Amy,Daniel,105
Amy,Jason,98
Amy,Mark,96
Amy,Joseph,90
Amy,Scott,90
An,Ngoc,6
Ana,Jose,59
Ana,Michael,35
Ana,Juan,32
Ana,Daniel,24
Ana,Robert,18
Ana,Jason,17
Ana,Rafael,16
Ana,Jorge,15
Ana,Francisco,15
Ana,Mark,13
Ana,David,12
Ana,Roberto,12
Ana,Edgar,11
Ana,Jaime,11
Ana,Luis,11
Anastasia,Michael,6
Anastasia,Andrew,6
Anastasiya,Andrey,6
Anatoliy,Olga,6
Anatoly,Irina,6
Andre,Lisa,10
Andre,Sarah,8
Andre,Mary,8
Andre,Jennifer,8
Andre,Elizabeth,8
Andre,Michelle,7
Andre,Linda,7
Andre,Nicole,6
Andre,Monique,6
Andre,Amy,6
Andre,Christina,6
Andrea,David,143
Andrea,Michael,119
Andrea,Robert,111
Andrea,James,99
Andrea,John,89
Andrea,Brian,74
Andrea,Mark,70
Andrea,Christopher,68
Andrea,Richard,57
Andrea,Kevin,53
Andrea,Matthew,51
Andrea,Daniel,49
Andrea,Thomas,48
Andrea,Steven,44
Andrea,Paul,43
Andreas,Barbara,6
Andrei,Anna,6
Andres,Maria,14
Andres,Elizabeth,11
Andres,Emily,8
Andres,Jennifer,7
Andres,Silvia,6
Andrew,Jennifer,187
Andrew,Mary,100
Andrew,Elizabeth,89
Andrew,Sarah,79
Andrew,Amy,79
Andrew,Michelle,78
Andrew,Julie,76
Andrew,Katherine,75
Andrew,Jessica,69
Andrew,Kimberly,66
Andrew,Emily,64
Andrew,Susan,63
Andrew,Lisa,62
Andrew,Angela,61
Andrew,Rebecca,60
Andrey,Olga,12
Andrey,Oksana,11
Andrey,Anna,10
Andrey,Svetlana,10
Andrey,Tatyana,10
Andrey,Alla,9
Andrey,Yuliya,8
Andrey,Yelena,6
Andrey,Anastasiya,6
Andrey,Natalya,6
Andy,Laura,6
Anette,John,6
Angel,Maria,16
Angel,David,10
Angel,Michael,9
Angel,Gabriela,8
Angel,Linda,8
Angel,Heather,7
Angel,John,7
Angel,Daniel,6
Angel,Kimberly,6
Angela,Michael,205
Angela,David,132
Angela,Robert,126
Angela,James,124
Angela,John,111
Angela,Christopher,107
Angela,Jeffrey,88
Angela,Daniel,81
Angela,Jason,78
Angela,Brian,74
Angela,Scott,71
Angela,Richard,70
Angela,Joseph,65
Angela,Matthew,64
Angela,Andrew,61
Angelia,Steven,7
Angelica,Jose,12
Angelica,David,8
Angelica,Martin,8
Angelica,Sergio,7
Angelica,Salvador,6
Angelica,John,6
Angelica,James,6
Angelina,Richard,14
Angelina,Robert,9
Angelina,James,9
Angelina,Scott,8
Angelina,Michael,6
Angelina,Juan,6
Angelique,David,6
Angie,James,9
Angie,Paul,7
Angie,Matthew,6
Angie,Daniel,6
Angie,Scott,6
Angie,Robert,6
Anh,Phuong,17
Anh,Hai,12
Anh,Thao,10
Anh,Tuan,10
Anh,Minh,10
Anh,Michael,10
Anh,Hoang,9
Anh,Hien,8
Anh,Duy,8
Anh,Son,7
Anh,Thanh,7
Anh,Huy,7
Anh,Mark,6
Anh,Robert,6
Anh,Quoc,6
Anika,David,6
Anita,Robert,63
Anita,John,62
Anita,Michael,55
Anita,David,53
Anita,William,42
Anita,James,39
Anita,Richard,38
Anita,Mark,38
Anita,Daniel,26
Anita,Steven,24
Anita,Peter,20
Anita,Kevin,20
Anita,Charles,20
Anita,Gerald,19
Anita,Donald,18
Ann,John,173
Ann,David,167
Ann,Robert,154
Ann,Michael,134
Ann,James,116
Ann,William,108
Ann,Richard,96
Ann,Steven,71
Ann,Mark,69
Ann,Thomas,66
Ann,Jeffrey,49
Ann,Charles,48
Ann,Donald,47
Ann,Daniel,42
Ann,George,42
Anna,Michael,100
Anna,David,98
Anna,John,77
Anna,James,71
Anna,Robert,66
Anna,Christopher,63
Anna,William,61
Anna,Richard,51
Anna,Brian,46
Anna,Jason,42
Anna,Steven,41
Anna,Mark,39
Anna,Peter,38
Anna,Daniel,36
Anna,Thomas,33
Annamarie,Michael,7
Anne,John,149
Anne,Michael,135
Anne,James,131
Anne,David,123
Anne,Robert,106
Anne,Richard,85
Anne,William,72
Anne,Mark,59
Anne,Daniel,54
Anne,Steven,52
Anne,Eric,46
Anne,Gregory,44
Anne,Scott,44
Anne,Thomas,43
Anne,Timothy,41
Annemarie,Michael,15
Annemarie,David,6
Annette,Michael,63
Annette,James,56
Annette,John,47
Annette,David,44
Annette,Robert,35
Annette,Thomas,26
Annette,Donald,23
Annette,Mark,22
Annette,William,22
Annette,Richard,20
Annette,Timothy,19
Annette,Paul,18
Annette,Ronald,18
Annette,Kevin,17
Annette,Gary,16
Annie,David,11
Annie,Andrew,8
Annie,Douglas,8
Annie,Brian,7
Annie,William,7
Annie,Michael,7
Annie,Robert,7
Annie,Joel,6
Annie,Jeffrey,6
Annie,Phillip,6
Annie,Patrick,6
Annie,Timothy,6
Annika,Michael,6
Anthony,Jennifer,96
Anthony,Michelle,68
Anthony,Lisa,66
Anthony,Kimberly,57
Anthony,Elizabeth,56
Anthony,Susan,56
Anthony,Linda,55
Anthony,Mary,50
Anthony,Patricia,48
Anthony,Laura,46
Anthony,Sandra,44
Anthony,Christine,43
Anthony,Melissa,42
Anthony,Julie,41
Anthony,Jessica,40
Antoinette,Steven,10
Antoinette,Daniel,8
Antoinette,David,7
Antoinette,Michael,7
Antoinette,Kenneth,7
Antoinette,Gary,6
Antoinette,Robert,6
Antoinette,Brian,6
Antonia,Paul,7
Antonia,Michael,7
Antonia,James,6
Antonia,Daniel,6
Antonio,Maria,25
Antonio,Jennifer,17
Antonio,Mary,13
Antonio,Martha,11
Antonio,Margarita,10
Antonio,Elizabeth,8
Antonio,Karen,8
Antonio,Amy,8
Antonio,Sandra,7
Antonio,Ana,7
Antonio,Dawn,7
Antonio,Courtney,7
Antonio,Tanya,6
Antonio,Marcia,6
Antonio,Deborah,6
April,Robert,67
April,Michael,63
April,James,53
April,David,51
April,John,44
April,Daniel,30
April,Christopher,28
April,Mark,27
April,Matthew,27
April,Joseph,26
April,Richard,25
April,William,23
April,Steven,21
April,Brian,19
April,Eric,19
Araceli,Miguel,11
Araceli,Jose,10
Ardis,James,8
Aric,Angela,6
Arla,Richard,7
Arlene,Robert,48
Arlene,James,26
Arlene,William,24
Arlene,John,23
Arlene,Mark,22
Arlene,Michael,19
Arlene,Richard,19
Arlene,David,16
Arlene,Steven,16
Arlene,Ronald,15
Arlene,Donald,11
Arlene,Daniel,10
Arlene,Eric,10
Arlene,Douglas,9
Arlene,Joseph,9
Armando,Maria,23
Armando,Susan,7
Armando,Guadalupe,6
Armando,Rosa,6
Armando,Patricia,6
Arne,Mary,7
Arnold,Sharon,17
Arnold,Susan,14
Arnold,Margaret,10
Arnold,Mary,10
Arnold,Barbara,10
Arnold,Karen,9
Arnold,Diane,8
Arnold,Jennifer,7
Arnold,Linda,7
Arnold,Dorothy,7
Arnold,Michelle,7
Arnold,Nancy,7
Arnold,Elizabeth,6
Arnold,Patricia,6
Arnulfo,Maria,6
Artem,Alina,6
Arthur,Mary,54
Arthur,Linda,48
Arthur,Patricia,39
Arthur,Susan,37
Arthur,Nancy,28
Arthur,Judith,25
Arthur,Barbara,25
Arthur,Kathleen,23
Arthur,Sharon,23
Arthur,Elizabeth,22
Arthur,Deborah,20
Arthur,Lisa,20
Arthur,Betty,20
Arthur,Pamela,19
Arthur,Sandra,18
Arturo,Maria,15
Arturo,Brenda,6
Ashlee,Christopher,6
Ashlee,Kyle,6
Ashley,Michael,85
Ashley,David,68
Ashley,Matthew,50
Ashley,Ryan,48
Ashley,Robert,46
Ashley,Christopher,42
Ashley,Andrew,40
Ashley,Daniel,39
Ashley,Brian,36
Ashley,James,31
Ashley,Adam,29
Ashley,John,27
Ashley,Joshua,26
Ashley,Scott,24
Ashley,Tyler,24
Astrid,James,6
Athena,Michael,11
Athena,David,6
Athena,Paul,6
Athena,Richard,6
Aubrey,Christopher,7
Audra,Michael,9
Audra,David,8
Audrey,Robert,27
Audrey,Michael,21
Audrey,James,20
Audrey,William,19
Audrey,Daniel,17
Audrey,Joseph,16
Audrey,Thomas,15
Audrey,David,14
Audrey,Mark,14
Audrey,Matthew,14
Audrey,John,14
Audrey,Gary,14
Audrey,Richard,13
Audrey,Brian,11
Audrey,Ronald,10
August,Mary,7
August,Susan,6
Aurora,Jose,8
Aurora,Benjamin,7
Aurora,Michael,6
Austin,Sarah,10
Austin,Rachel,10
Austin,Erin,8
Austin,Rebekah,6
Austin,Andrea,6
Austin,Ashley,6
Austin,Emily,6
Autumn,Michael,11
Autumn,Matthew,8
Autumn,Stephen,7
Autumn,Ryan,6
Autumn,Thomas,6
Autumn,Christopher,6
Autumn,David,6
Autumn,Jason,6
Autumn,Jeremy,6
Bailey,Ryan,6
Bailey,Robert,6
Bakhitzhan,Nurkul,6
Baljit,Mohinder,6
Barbara,John,424
Barbara,Robert,419
Barbara,Michael,361
Barbara,James,348
Barbara,David,346
Barbara,William,334
Barbara,Richard,263
Barbara,Thomas,199
Barbara,Charles,161
Barbara,Mark,160
Barbara,Donald,151
Barbara,Steven,148
Barbara,Ronald,129
Barbara,Daniel,127
Barbara,Kenneth,112
Barry,Mary,31
Barry,Susan,30
Barry,Karen,28
Barry,Barbara,21
Barry,Linda,20
Barry,Kimberly,19
Barry,Nancy,18
Barry,Deborah,18
Barry,Jennifer,16
Barry,Elizabeth,15
Barry,Diane,15
Barry,Sandra,14
Barry,Cynthia,14
Barry,Pamela,13
Barry,Patricia,13
Bart,Laura,6
Beata,Peter,6
Beatrice,Michael,16
Beatrice,James,14
Beatrice,Robert,13
Beatrice,John,12
Beatrice,Frank,10
Beatrice,William,9
Beatrice,Charles,8
Beatrice,George,7
Beatrice,Richard,7
Beatrice,Edward,6
Beatriz,Jose,10
Beatriz,John,7
Beatriz,Jorge,6
Beatriz,Juan,6
Beatriz,David,6
Becket,James,6
Beckie,Michael,6
Becky,James,31
Becky,David,29
Becky,Michael,26
Becky,Robert,25
Becky,William,21
Becky,John,19
Becky,Richard,19
Becky,Thomas,18
Becky,Ronald,16
Becky,Mark,15
Becky,Paul,14
Becky,Jeffrey,11
Becky,Larry,9
Becky,Brian,9
Becky,Charles,8
Belinda,James,18
Belinda,Michael,15
Belinda,David,11
Belinda,Robert,11
Belinda,Mark,10
Ben,Susan,15
Ben,Patricia,11
Ben,Linda,9
Ben,Mary,9
Ben,Lisa,8
Ben,Karen,8
Ben,Jennifer,8
Ben,Wendy,7
Ben,Victoria,6
Ben,Skye,6
Ben,Michelle,6
Ben,Maria,6
Benito,Maria,6
Benjamin,Jennifer,106
Benjamin,Sarah,57
Benjamin,Jessica,52
Benjamin,Elizabeth,45
Benjamin,Kimberly,44
Benjamin,Lisa,43
Benjamin,Katherine,40
Benjamin,Laura,40
Benjamin,Nicole,38
Benjamin,Rachel,37
Benjamin,Emily,34
Benjamin,Megan,32
Benjamin,Angela,31
Benjamin,Melissa,30
Benjamin,Stephanie,29
Benson,Patricia,6
Bernadette,Michael,10
Bernadette,John,10
Bernadette,William,9
Bernadette,Bruce,7
Bernadette,Mark,7
Bernadette,Daniel,7
Bernadette,Thomas,6
Bernadette,David,6
Bernadette,James,6
Bernard,Mary,22
Bernard,Sharon,13
Bernard,Linda,11
Bernard,Nancy,11
Bernard,Elizabeth,10
Bernard,Karen,9
Bernard,Patricia,9
Bernard,Cheryl,8
Bernard,Margaret,8
Bernard,Barbara,8
Bernard,Carol,8
Bernard,Joyce,7
Bernard,Catherine,7
Bernard,Sheila,6
Bernard,Robin,6
Bernardo,Maria,9
Bernice,Robert,19
Bernice,James,11
Bernice,William,8
Bernice,John,7
Bernice,Paul,7
Bernice,Donald,7
Bernice,Edward,7
Bernice,David,6
Bernice,Anthony,6
Bert,Mary,6
Bertha,David,12
Bertha,Jose,10
Bertha,John,7
Bertha,Edward,6
Beth,Robert,58
Beth,John,47
Beth,David,44
Beth,Michael,44
Beth,James,37
Beth,Richard,31
Beth,Steven,30
Beth,William,30
Beth,Mark,28
Beth,Daniel,27
Beth,Thomas,25
Beth,Donald,21
Beth,Scott,18
Beth,Timothy,18
Beth,Christopher,18
Bethany,Michael,25
Bethany,James,17
Bethany,Eric,14
Bethany,Joshua,14
Bethany,Christopher,13
Bethany,Mark,12
Bethany,David,10
Bethany,Jonathan,10
Bethany,Ryan,10
Bethany,Daniel,9
Bethany,Steven,9
Bethany,Thomas,9
Bethany,John,8
Bethany,Jeffrey,8
Bethany,Tyler,8
Betsy,Michael,22
Betsy,John,14
Betsy,David,14
Betsy,Charles,10
Betsy,James,10
Betsy,Brian,8
Betsy,Robert,7
Betsy,Steven,6
Betsy,Andrew,6
Bette,Robert,12
Bette,Donald,8
Bette,John,7
Bette,Stephen,6
Bette,Thomas,6
Bette,James,6
Bettie,Richard,7
Bettina,John,7
Betty,Robert,103
Betty,John,99
Betty,James,88
Betty,William,72
Betty,Michael,61
Betty,David,61
Betty,Richard,60
Betty,Charles,53
Betty,Donald,46
Betty,Thomas,38
Betty,Paul,38
Betty,Ronald,30
Betty,Kenneth,29
Betty,George,29
Betty,Gary,25
Bettye,James,7
Beverlee,Robert,9
Beverly,John,90
Beverly,James,85
Beverly,Richard,83
Beverly,David,78
Beverly,Robert,77
Beverly,Michael,67
Beverly,William,56
Beverly,Donald,48
Beverly,Thomas,44
Beverly,Charles,39
Beverly,Steven,35
Beverly,Gary,33
Beverly,Mark,30
Beverly,Kenneth,30
Beverly,Larry,28
Bianca,James,6
Bich,Trung,6
Bill,Mary,17
Bill,Susan,15
Bill,Patricia,9
Bill,Carol,8
Bill,Sandra,8
Bill,Sharon,8
Bill,Kathleen,7
Bill,Pamela,7
Billie,James,23
Billie,John,18
Billie,Richard,13
Billie,Robert,13
Billie,Michael,13
Billie,Thomas,9
Billie,Charles,8
Billie,Douglas,7
Billie,Steven,7
Billie,Jeffrey,6
Billie,Kenneth,6
Billy,Linda,23
Billy,Mary,19
Billy,Barbara,16
Billy,Jennifer,15
Billy,Donna,12
Billy,Patricia,12
Billy,Karen,10
Billy,Lisa,8
Billy,Cynthia,7
Billy,Angela,7
Billy,Sandra,7
Billy,Sarah,7
Billy,Diane,6
Billy,Janice,6
Billy,Jamie,6
Binh,Kim,6
Bjorn,Elizabeth,8
Blaine,Jennifer,9
Blaine,Susan,9
Blaine,Mary,8
Blair,Jennifer,10
Blair,Carol,6
Blair,Mary,6
Blake,Jennifer,17
Blake,Mary,10
Blake,Michelle,9
Blake,Christina,8
Blake,Nancy,8
Blake,Julie,7
Blake,Allison,6
Blake,Stephanie,6
Blanca,Jose,19
Blanca,Carlos,10
Blanca,Jesus,8
Blanca,James,8
Blanca,Guillermo,6
Blank,Blank,12
Bob,Susan,8
Bob,Mary,7
Bob,Janis,7
Bob,Karen,7
Bob,Patricia,6
Bobbi,David,9
Bobbi,Christopher,9
Bobbi,Robert,9
Bobbi,Michael,8
Bobbi,Joseph,8
Bobbi,James,7
Bobbi,John,6
Bobbie,John,13
Bobbie,David,13
Bobbie,James,12
Bobbie,Larry,7
Bobbie,Dennis,6
Bobbie,Donald,6
Bobby,Linda,11
Bobby,Brenda,10
Bobby,Debra,10
Bobby,Mary,8
Bobby,Karen,7
Bobby,Sharon,6
Bobby,Robin,6
Bobby,Deborah,6
Bobby,Carol,6
Bobby,Christine,6
Bobby,Jennifer,6
Bogdan,Olga,6
Bonita,David,12
Bonita,James,12
Bonita,Richard,11
Bonita,Robert,10
Bonita,Kenneth,8
Bonita,John,7
Bonita,Donald,7
